,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,693763,-,-,-,33.21,-97.14,-6,203,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,v3.0.1
1,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2009,1,1,0,0,0,0,0,2.1,1,167.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2009,1,1,0,30,0,0,0,2.1,0,169.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2009,1,1,1,0,0,0,0,2.2,0,168.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009,1,1,1,30,0,0,0,2.3000000000000003,0,163.67000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2009,1,1,2,0,0,0,0,2.4000000000000004,0,158.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2009,1,1,2,30,0,0,0,2.5,0,152.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2009,1,1,3,0,0,0,0,2.6,0,146.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,1,1,3,30,0,0,0,2.7,0,139.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2009,1,1,4,0,0,0,0,2.9000000000000004,0,133.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2009,1,1,4,30,0,0,0,3.0,0,127.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2009,1,1,5,0,0,0,0,3.2,0,121.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2009,1,1,5,30,0,0,0,3.2,0,114.85000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2009,1,1,6,0,0,0,0,3.3000000000000003,0,108.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2009,1,1,6,30,0,0,0,3.4000000000000004,0,102.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2009,1,1,7,0,0,0,0,3.5,0,96.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2009,1,1,7,30,0,0,0,3.8000000000000003,0,91.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2009,1,1,8,0,49,26,316,4.2,1,85.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2009,1,1,8,30,133,45,532,4.5,2,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2009,1,1,9,0,224,57,668,4.800000000000001,4,75.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2009,1,1,9,30,311,67,751,5.0,5,70.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2009,1,1,10,0,391,73,807,5.300000000000001,7,66.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2009,1,1,10,30,460,78,847,5.4,9,63.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2009,1,1,11,0,515,82,874,5.5,11,60.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2009,1,1,11,30,557,85,892,5.6000000000000005,12,58.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2009,1,1,12,0,584,83,912,5.800000000000001,14,56.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2009,1,1,12,30,594,83,916,5.9,15,56.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2009,1,1,13,0,587,83,914,6.0,16,56.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2009,1,1,13,30,564,81,906,6.0,17,57.800000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2009,1,1,14,0,526,79,890,6.0,18,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2009,1,1,14,30,472,76,866,5.7,18,62.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2009,1,1,15,0,406,70,834,5.5,18,66.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2009,1,1,15,30,328,64,782,4.9,17,70.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2009,1,1,16,0,241,56,707,4.3,16,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2009,1,1,16,30,150,45,589,3.9000000000000004,14,79.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2009,1,1,17,0,62,28,385,3.6,12,84.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2009,1,1,17,30,0,0,0,3.6,11,90.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2009,1,1,18,0,0,0,0,3.6,11,95.99000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2009,1,1,18,30,0,0,0,3.5,10,101.82000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2009,1,1,19,0,0,0,0,3.4000000000000004,10,107.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2009,1,1,19,30,0,0,0,3.4000000000000004,9,113.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
